Machine_ID,Temperature,Run_Time,Downtime_Flag
M3,51.04,400.48,0
M4,83.68,181.07,0
M3,73.34,367.01,0
M3,81.44,359.89,0
M1,89.95,460.48,0
M3,80.49,432.32,0
M5,79.04,475.39,1
M3,101.29,447.53,1
M1,98.01,447.48,0
M5,108.33,125.49,0
M2,67.5,438.38,0
M3,92.67,342.99,0
M1,90.96,252.18,0
M2,75.88,122.61,0
M2,84.02,371.07,1
M4,71.96,231.28,0
M5,59.93,287.11,0
M3,64.97,372.69,0
M1,57.39,464.71,0
M4,97.81,430.17,0
M5,96.25,280.24,0
M4,116.54,255.11,0
M5,101.08,195.91,1
M5,53.64,248.97,1
M3,111.9,144.42,0
M5,110.39,488.44,0
M4,81.03,329.57,0
M5,91.01,151.12,1
M3,118.33,241.12,0
M3,87.26,318.82,0
M4,113.37,313.15,0
M2,55.81,114.2,0
M2,63.37,480.34,0
M5,80.85,210.15,0
M1,90.93,106.47,0
M5,107.14,130.58,0
M4,119.18,332.08,0
M4,77.22,155.11,0
M4,53.32,116.69,0
M4,106.08,251.85,0
M4,92.31,349.1,0
M3,63.9,144.74,0
M2,84.64,225.33,0
M4,101.96,267.1,0
M1,103.93,163.78,0
M1,84.97,302.43,1
M1,71.37,134.09,0
M1,118.16,118.61,0
M3,96.44,307.93,1
M1,78.58,199.16,0
M4,69.63,138.15,0
M5,101.18,269.57,0
M1,66.95,466.06,1
M3,62.02,389.68,0
M3,87.09,426.25,0
M1,70.3,448.77,0
M5,94.02,489.05,1
M1,58.26,405.3,0
M3,95.85,343.36,0
M2,69.83,246.17,0
M4,50.02,172.66,0
M3,58.89,374.66,0
M1,115.35,497.98,1
M4,110.71,286.94,0
M1,66.35,389.47,0
M1,104.49,298.04,0
M2,92.6,272.77,0
M4,117.96,264.12,0
M4,76.15,301.85,1
M2,97.7,246.76,0
M3,54.45,399.51,0
M1,77.74,449.71,0
M5,117.47,453.15,0
M1,87.73,191.08,0
M1,70.15,458.36,0
M3,58.42,236.62,0
M1,99.25,223.72,0
M2,95.14,390.7,0
M2,76.18,221.88,0
M4,116.57,121.19,0
M5,51.55,249.45,0
M1,71.26,388.59,1
M1,114.47,230.78,0
M3,72.47,351.82,0
M2,67.66,364.05,1
M5,87.4,393.49,0
M4,107.67,458.85,0
M2,57.22,273.03,0
M4,116.01,166.57,0
M3,105.66,227.57,0
M3,62.69,272.87,0
M1,99.84,385.56,0
M5,76.95,105.25,0
M4,78.16,226.31,0
M2,104.83,411.94,0
M3,117.39,368.34,0
M1,58.87,392.7,1
M1,79.44,424.72,0
M4,83.67,413.29,0
M3,76.34,372.87,1
M5,75.42,275.86,0
M3,53.66,493.44,0
M4,97.99,327.63,1
M4,80.54,181.11,1
M3,63.64,217.13,0
M4,107.12,377.42,0
M3,106.18,469.9,0
M2,84.05,171.49,1
M3,70.89,132.94,1
M3,94.67,452.61,0
M4,70.17,466.11,0
M4,66.52,210.55,1
M1,101.14,250.91,0
M1,52.82,364.08,0
M2,56.63,231.97,0
M1,50.48,450.86,0
M3,60.71,143.03,1
M4,54.83,115.19,1
M1,119.71,183.39,0
M1,70.22,214.44,0
M2,60.45,145.17,0
M2,66.87,126.28,0
M3,115.53,402.24,0
M4,86.41,165.71,0
M2,75.54,465.57,0
M1,111.14,247.2,0
M4,77.65,368.24,0
M4,73.45,190.16,1
M1,64.51,196.13,0
M2,76.45,329.88,0
M1,72.17,324.26,0
M4,97.41,407.49,0
M5,70.27,403.13,0
M5,90.4,368.28,0
M3,54.61,279.65,1
M1,63.39,456.26,0
M1,78.52,349.03,0
M3,115.59,496.08,0
M3,76.41,427.75,0
M3,96.49,117.72,0
M4,67.86,228.24,1
M1,58.89,328.75,0
M4,54.1,388.59,0
M3,71.38,320.13,0
M1,61.04,414.45,1
M4,62.18,213.06,0
M4,103.25,173.56,0
M3,51.11,121.57,0
M1,89.05,329.33,0
M3,76.56,375.44,0
M1,85.46,230.46,0
M5,89.4,345.43,0
M2,71.94,120.86,0
M2,70.66,139.72,0
M2,101.34,380.7,0
M3,110.99,247.23,0
M5,63.48,368.53,0
M1,56.83,432.69,0
M4,112.85,441.05,0
M1,74.49,168.87,0
M4,88.59,294.51,0
M1,75.17,393.57,0
M5,58.81,409.59,0
M4,91.25,413.87,0
M3,86.76,191.27,0
M1,64.21,177.01,0
M1,81.63,336.0,0
M4,105.79,396.43,0
M3,91.33,227.66,0
M3,56.78,141.88,0
M5,88.36,386.7,0
M3,99.19,219.88,1
M3,105.49,166.55,0
M3,94.04,159.09,0
M2,60.69,225.96,0
M5,99.71,337.07,1
M1,97.41,243.36,0
M4,51.71,108.26,0
M1,78.82,138.76,0
M5,73.31,216.2,1
M4,96.86,363.88,1
M5,65.13,139.41,0
M3,91.36,324.26,0
M4,113.92,147.95,0
M3,105.85,184.65,0
M1,114.5,168.88,0
M1,118.5,126.89,1
M4,50.75,368.53,0
M4,93.59,285.36,0
M5,78.9,432.42,0
M5,110.19,139.56,0
M3,67.63,157.89,0
M4,118.67,222.58,0
M1,92.96,406.35,0
M5,105.55,222.3,0
M5,55.99,263.37,0
M1,62.84,220.64,0
M5,103.09,132.09,1
M3,51.54,475.77,0
M4,107.18,319.42,0
M1,50.98,415.13,0
M4,96.0,363.34,0
M5,75.56,305.7,0
M5,92.8,135.87,0
M1,98.72,357.09,1
M3,73.97,162.15,0
M2,57.56,265.75,0
M1,54.88,351.65,0
M2,91.23,412.89,0
M2,86.45,374.02,0
M3,101.95,368.61,0
M2,85.68,159.62,0
M2,79.57,238.45,0
M3,77.87,117.16,0
M2,51.85,387.79,0
M2,73.49,481.03,0
M2,118.32,205.64,0
M1,111.15,135.08,0
M1,73.06,290.23,0
M1,91.15,442.68,0
M3,109.31,320.79,1
M5,80.89,118.71,0
M2,51.26,489.71,0
M2,55.22,431.46,1
M3,85.73,152.64,0
M2,117.86,468.72,0
M1,98.52,280.28,0
M5,54.96,248.76,0
M4,63.26,284.42,0
M2,103.99,433.83,0
M1,108.9,363.79,0
M4,93.24,123.7,0
M5,95.11,483.04,0
M4,51.98,159.11,0
M1,108.0,398.23,0
M4,105.18,354.45,0
M3,68.13,175.01,1
M4,99.61,168.29,0
M2,65.04,448.13,0
M2,52.82,267.88,1
M3,64.08,361.83,1
M1,62.5,301.63,0
M2,73.64,390.94,0
M5,79.29,291.7,0
M2,85.6,214.95,0
M2,83.37,245.35,0
M1,68.95,443.63,0
M4,52.04,287.21,0
M2,92.36,185.38,0
M3,77.7,473.84,0
M4,70.91,418.64,0
M5,110.69,122.27,0
M1,102.27,499.58,0
M5,110.04,377.97,0
M4,84.65,164.11,0
M4,59.17,194.87,0
M4,98.74,376.98,1
M5,64.43,411.9,0
M4,80.89,195.61,0
M5,54.55,202.79,1
M4,107.77,222.85,0
M3,58.82,339.21,1
M4,113.22,168.73,0
M5,110.5,141.7,0
M2,82.52,371.55,0
M4,102.11,411.64,1
M2,93.36,300.37,1
M3,106.22,245.53,0
M1,80.23,272.82,0
M3,105.01,255.36,0
M4,82.37,483.99,0
M2,115.87,407.24,0
M2,84.05,183.23,0
M5,82.38,253.68,0
M2,104.96,317.6,0
M5,107.51,345.19,0
M1,88.81,287.27,0
M4,62.59,424.05,0
M5,82.74,407.04,1
M1,117.77,302.06,0
M2,102.71,441.77,0
M2,106.78,400.44,0
M1,52.3,411.43,1
M2,82.75,482.56,0
M1,95.26,206.59,0
M5,108.1,207.06,1
M5,53.45,455.58,0
M1,109.67,408.89,0
M5,88.39,470.62,0
M5,63.81,125.25,1
M5,72.21,351.1,0
M3,69.74,157.85,0
M4,87.16,301.56,0
M2,53.62,162.3,0
M3,61.1,151.23,1
M5,106.89,104.87,0
M1,59.28,352.1,0
M5,66.34,243.61,1
M4,81.74,142.08,0
M5,86.2,229.14,0
M1,103.45,167.58,0
M4,81.31,476.68,0
M5,105.29,228.0,0
M4,93.28,233.58,0
M2,57.92,435.94,0
M2,60.94,359.1,0
M5,80.59,384.07,0
M4,77.78,354.4,0
M1,102.05,478.48,0
M5,90.65,182.8,0
M2,77.17,495.62,0
M2,61.95,432.38,1
M5,65.88,335.59,1
M4,90.29,364.95,0
M2,79.64,359.53,1
M4,86.04,123.36,1
M2,61.95,187.21,0
M2,96.4,484.59,0
M3,109.68,313.75,1
M2,68.06,251.34,0
M1,84.41,404.82,0
M5,118.29,309.81,0
M5,73.33,105.27,0
M4,91.65,394.5,0
M2,56.31,392.89,0
M1,92.42,166.06,0
M4,56.27,482.66,0
M3,117.15,189.56,1
M4,100.1,283.1,0
M4,105.17,145.89,0
M2,99.29,341.31,0
M3,91.28,250.18,0
M4,81.49,241.27,1
M1,110.09,430.79,0
M1,116.98,103.82,0
M5,84.93,419.18,0
M3,115.21,328.58,0
M3,90.83,494.44,0
M5,87.69,335.78,0
M4,81.81,122.15,0
M3,64.65,120.26,0
M1,50.26,453.26,1
M1,66.91,436.49,0
M2,85.68,238.36,0
M3,76.6,347.21,1
M4,81.39,295.84,1
M5,118.65,486.87,0
M5,74.52,479.98,1
M4,81.65,493.54,0
M2,59.35,446.58,0
M5,53.36,463.82,0
M3,104.28,186.91,0
M2,89.95,432.4,0
M3,103.25,383.54,0
M1,60.49,485.11,0
M2,90.03,328.5,1
M5,67.75,134.07,0
M2,65.96,338.96,0
M2,50.81,374.63,0
M2,59.12,188.13,0
M2,71.65,257.65,0
M3,58.18,339.4,0
M1,119.01,249.64,0
M4,71.6,249.98,0
M2,59.12,153.23,0
M5,63.94,476.3,0
M2,91.14,400.2,0
M5,54.48,100.5,0
M3,110.37,406.25,1
M5,117.3,395.92,0
M4,67.27,103.89,1
M1,81.51,247.84,0
M5,51.55,342.7,0
M5,94.85,281.1,0
M1,78.97,411.19,0
M4,68.9,270.18,1
M2,64.48,161.55,1
M5,95.78,490.57,0
M1,79.14,196.82,0
M3,62.58,387.08,1
M1,98.24,157.26,0
M3,89.56,231.61,1
M4,110.11,276.81,1
M2,58.22,176.89,0
M1,105.0,279.98,0
M5,97.15,162.87,0
M4,58.05,323.6,0
M1,98.64,365.49,0
M5,80.91,124.97,0
M1,116.15,448.45,0
M3,59.91,174.06,1
M1,95.0,190.14,0
M1,76.74,364.54,0
M1,116.98,287.5,0
M4,73.1,299.76,0
M1,117.35,151.26,0
M5,113.1,422.29,0
M3,68.93,346.82,0
M3,106.25,154.15,0
M1,119.69,249.6,1
M4,67.69,424.16,0
M4,80.57,327.34,0
M5,86.41,143.46,1
M1,70.65,249.11,1
M3,51.07,197.08,0
M4,65.41,306.99,0
M1,69.74,437.34,0
M4,81.05,274.51,0
M4,61.98,273.34,0
M3,111.13,462.14,0
M2,99.34,330.47,0
M5,55.96,326.48,0
M5,95.51,204.76,0
M3,95.76,343.09,0
M4,116.94,330.36,0
M1,50.21,258.74,0
M4,67.36,496.28,1
M3,114.95,452.76,0
M5,115.25,399.83,0
M4,100.44,314.94,0
M5,103.6,284.82,0
M1,56.4,173.96,0
M5,85.97,222.29,0
M5,66.21,409.58,0
M2,62.69,281.5,0
M2,106.72,452.91,1
M2,59.45,159.16,0
M5,82.81,303.34,0
M3,115.7,358.79,0
M5,63.01,306.74,0
M3,118.46,455.69,0
M3,119.6,495.83,0
M2,88.89,146.33,0
M4,61.91,151.98,0
M1,72.13,152.13,0
M2,79.71,372.47,0
M2,71.65,249.07,0
M4,69.64,393.33,0
M1,118.06,262.19,1
M5,60.74,351.04,0
M5,101.33,407.94,0
M2,50.03,319.29,0
M1,91.73,315.8,0
M2,114.12,135.29,0
M3,70.16,264.31,0
M2,62.99,318.31,0
M2,95.62,284.79,0
M5,99.88,460.31,1
M5,98.16,462.61,0
M5,72.35,428.77,0
M3,67.65,250.12,0
M5,116.91,386.92,0
M1,114.63,258.12,0
M4,82.01,193.04,0
M1,109.23,237.16,0
M1,81.66,128.39,0
M5,79.71,232.71,0
M4,60.97,284.3,0
M4,79.85,482.19,0
M4,87.62,225.36,0
M3,51.58,460.98,0
M5,81.09,191.54,0
M4,104.69,176.39,0
M3,97.6,307.6,0
M2,94.46,369.0,0
M2,113.67,117.73,0
M3,51.26,188.43,0
M3,88.99,282.27,1
M5,105.11,232.4,0
M5,87.89,385.05,0
M2,72.67,304.46,0
M4,59.54,164.14,0
M2,112.13,457.79,0
M4,82.95,217.16,0
M4,111.47,392.45,0
M5,91.01,411.97,0
M1,97.19,485.26,0
M1,106.3,299.4,1
M3,96.14,346.33,0
M5,77.86,233.95,0
M4,85.95,371.27,0
M1,106.21,285.35,1
M4,76.16,275.06,0
M1,77.17,442.19,0
M1,56.7,120.07,1
M1,114.02,452.78,1
M5,56.37,440.83,0
M2,95.37,302.55,0
M4,78.92,296.08,0
M5,78.39,244.72,0
M5,97.57,497.67,0
M5,54.7,144.47,0
M5,91.56,336.09,0
M5,104.04,372.67,0
M3,107.97,473.73,0
M4,61.94,412.08,0
M5,112.82,357.54,0
M4,95.93,146.72,0
M3,111.73,249.49,0
M3,83.97,155.54,0
M4,87.94,452.49,1
M1,114.33,399.85,1
M2,112.99,403.01,0
M1,81.37,360.9,0
M1,69.21,302.82,0
M1,77.52,159.99,0
M5,77.14,231.88,0
M3,70.08,154.77,0
M1,68.8,389.97,0
M3,110.27,164.09,0
M4,54.89,380.85,1
M2,97.43,376.9,0
M4,62.1,283.72,1
M4,74.12,154.09,0
M5,54.31,225.92,0
M2,68.9,228.04,0
M4,103.79,380.15,0
M4,111.95,145.5,1
M2,65.51,431.63,1
M2,82.45,404.4,0
M4,82.92,174.52,0
M2,111.15,387.67,0
M4,103.4,367.41,0
M4,85.92,399.25,0
M5,96.95,175.57,0
M1,109.31,163.04,1
M4,50.67,194.59,0
M3,78.2,246.35,0
M1,113.51,417.47,1
M1,101.82,395.17,0
M1,88.0,470.18,0
M5,87.08,123.45,0
M4,74.34,104.62,0
M5,86.44,379.66,1
M4,95.88,211.71,1
M5,79.29,233.63,0
M5,99.99,318.72,0
M3,110.29,140.97,0
M5,60.83,357.08,0
M2,81.61,230.06,1
M3,78.56,353.09,1
M5,98.12,433.6,0
M1,67.49,168.44,0
M2,94.82,472.35,0
M2,111.42,312.28,0
M2,79.27,469.17,0
M3,113.77,183.09,1
M5,119.52,341.83,0
M5,57.43,261.55,1
M1,66.31,409.69,0
M1,116.53,342.36,0
M2,117.08,297.81,0
M1,56.84,465.19,1
M3,51.05,250.85,0
M5,61.28,187.99,0
M2,119.72,343.24,0
M1,62.6,349.61,0
M3,85.18,275.64,1
M3,109.39,294.64,0
M1,51.43,483.82,1
M5,92.31,393.07,0
M1,69.39,144.24,0
M2,110.36,184.85,0
M1,69.84,490.23,1
M3,98.07,390.59,0
M1,97.2,466.02,0
M5,65.5,221.54,0
M4,52.44,396.75,0
M1,78.65,385.6,0
M5,70.24,217.88,0
M5,106.63,320.33,1
M3,106.03,350.97,0
M5,81.99,292.45,0
M5,92.46,430.87,1
M5,92.3,433.15,0
M5,107.9,440.24,0
M2,79.75,421.37,1
M2,69.28,295.23,1
M3,68.55,252.58,0
M1,87.53,432.55,0
M5,81.44,296.08,0
M1,80.81,198.55,1
M1,56.38,302.94,0
M3,100.3,156.74,0
M5,64.96,376.65,0
M5,63.79,234.37,0
M4,78.89,204.26,0
M1,65.94,482.6,0
M1,90.87,410.75,0
M2,76.0,414.83,1
M4,81.42,349.49,0
M2,87.6,435.67,0
M2,64.25,403.66,1
M2,60.9,339.51,0
M3,111.63,484.45,0
M3,80.36,176.64,1
M2,78.85,477.35,0
M4,52.49,260.58,1
M1,84.86,311.36,0
M4,88.79,149.1,0
M5,89.12,316.04,0
M3,99.49,344.48,0
M1,62.42,499.08,1
M1,67.66,490.08,0
M5,106.75,486.56,0
M5,116.3,239.36,0
M2,59.52,496.51,0
M3,84.84,282.19,0
M3,64.99,440.73,0
M4,54.21,186.53,1
M2,72.79,302.33,0
M2,60.06,486.4,0
M2,99.7,478.81,0
M2,87.36,373.49,1
M3,60.07,419.13,0
M3,50.65,170.57,0
M2,106.57,388.66,0
M4,62.33,347.22,0
M1,92.44,136.62,0
M1,73.58,145.26,0
M4,90.98,143.38,0
M2,72.1,389.74,0
M3,56.09,156.69,0
M1,65.61,287.09,0
M5,63.16,242.79,0
M5,79.96,320.2,0
M4,96.08,382.59,0
M2,68.47,373.89,0
M1,50.84,306.21,0
M2,86.33,285.73,0
M1,92.4,259.13,0
M4,117.4,444.76,0
M4,91.26,232.34,1
M5,82.98,203.75,1
M2,90.14,397.33,1
M5,114.95,243.91,0
M2,107.99,438.8,0
M5,72.61,231.16,1
M3,66.61,380.78,0
M3,68.38,118.04,0
M3,85.31,254.23,0
M3,102.08,237.29,0
M1,85.23,426.67,1
M3,54.75,486.82,0
M4,100.65,284.35,0
M4,106.42,429.93,1
M1,70.26,379.88,0
M3,96.49,486.95,0
M3,79.86,424.44,0
M3,112.24,130.99,0
M5,109.17,385.31,0
M2,86.78,314.2,0
M5,98.41,106.57,1
M2,111.83,200.53,0
M3,84.7,468.7,0
M3,71.93,470.42,0
M5,102.76,419.54,0
M5,65.4,492.71,0
M2,77.2,422.62,1
M4,110.6,104.08,0
M2,100.71,215.13,0
M5,78.27,112.25,0
M5,65.03,137.64,0
M1,74.92,187.54,0
M5,69.89,301.42,0
M1,62.33,439.01,0
M4,102.03,444.79,0
M2,67.64,346.48,0
M2,81.79,471.27,0
M1,77.01,300.02,0
M2,118.75,455.61,0
M5,77.38,281.63,0
M3,55.6,210.89,1
M1,56.29,466.57,0
M2,91.35,255.17,0
M1,91.96,301.36,0
M1,79.31,231.54,0
M3,80.23,365.14,0
M5,53.78,498.01,1
M1,86.16,110.21,0
M2,85.33,459.94,0
M4,60.47,101.57,0
M1,57.27,245.69,0
M1,58.65,167.44,0
M3,57.07,402.94,0
M5,92.68,120.24,0
M4,63.75,321.39,0
M2,67.6,217.97,1
M4,62.15,153.47,0
M2,117.05,408.73,0
M5,109.82,186.97,0
M2,66.13,189.47,0
M3,72.93,210.03,0
M3,64.69,334.71,0
M3,84.43,363.87,0
M3,51.37,107.04,0
M4,97.0,196.75,0
M5,86.62,272.39,1
M2,112.9,232.79,0
M2,61.51,453.67,0
M3,106.29,415.08,0
M3,105.44,350.36,0
M1,58.9,235.22,0
M5,77.9,380.27,0
M4,61.91,437.46,0
M2,67.83,337.93,1
M1,68.43,413.78,0
M1,88.94,399.64,0
M2,78.8,328.69,0
M4,116.34,224.87,0
M1,58.85,398.31,1
M1,118.16,182.72,0
M5,66.14,411.8,0
M4,104.1,421.82,1
M1,73.73,428.86,1
M4,60.02,289.17,0
M2,110.05,176.99,1
M3,71.62,139.89,0
M1,96.12,397.34,0
M5,89.65,454.5,0
M2,83.02,360.34,0
M4,84.71,157.66,0
M2,101.26,473.96,1
M1,56.14,495.64,0
M4,96.77,273.35,1
M3,112.71,337.93,0
M2,54.05,410.89,0
M1,59.85,394.56,0
M5,100.16,487.11,0
M4,80.61,145.95,0
M2,78.25,332.29,0
M2,59.59,376.77,0
M3,85.47,456.04,1
M3,58.86,449.64,0
M5,83.36,491.2,0
M5,103.45,304.83,0
M1,68.08,432.3,0
M1,83.66,270.91,0
M5,119.44,268.93,0
M5,98.07,201.34,1
M4,108.89,427.29,0
M3,79.04,494.33,0
M1,103.75,202.54,1
M3,52.84,122.45,1
M3,58.6,426.22,1
M5,64.21,348.09,0
M4,78.14,483.88,0
M2,109.2,200.9,0
M4,74.24,128.41,1
M4,95.82,296.98,1
M3,99.65,134.19,0
M4,91.03,204.72,0
M1,75.01,150.39,0
M3,90.39,189.65,0
M1,73.96,142.46,0
M2,55.87,481.56,0
M3,119.5,211.43,1
M2,58.9,277.56,0
M3,55.06,459.44,0
M5,111.5,370.93,0
M4,71.13,347.21,0
M5,95.52,382.23,0
M2,73.03,431.53,1
M4,77.4,451.07,0
M3,68.35,357.06,0
M4,74.01,456.0,0
M1,78.75,314.16,0
M4,100.43,210.92,0
M1,85.81,452.03,0
M4,116.05,316.59,0
M1,52.93,462.46,0
M2,85.21,116.07,0
M5,90.9,259.01,1
M3,114.41,479.12,0
M4,53.44,199.86,0
M5,90.14,476.61,0
M3,109.75,481.56,0
M3,66.93,452.86,0
M1,111.34,325.47,1
M2,51.33,358.78,0
M2,101.27,447.85,0
M5,115.32,410.36,1
M2,96.0,352.04,0
M4,80.73,492.9,0
M2,53.14,374.27,0
M5,114.41,490.19,0
M2,82.92,122.96,0
M4,52.03,155.58,0
M1,98.29,280.58,0
M5,83.73,253.95,0
M1,58.7,413.09,0
M1,65.0,164.25,0
M1,54.51,490.44,0
M3,90.2,226.03,0
M3,93.54,271.57,0
M1,85.4,209.9,0
M5,107.2,331.75,0
M4,110.27,123.45,0
M4,93.09,159.87,0
M2,50.89,398.32,0
M5,98.67,174.6,0
M3,79.26,194.21,0
M1,89.59,417.19,1
M2,95.44,137.32,1
M4,74.52,274.99,1
M3,114.2,109.23,1
M3,59.38,238.72,0
M1,97.01,379.59,0
M4,50.31,136.04,0
M5,114.73,455.33,0
M3,57.88,463.8,0
M1,56.64,142.0,0
M5,73.31,496.29,0
M4,76.15,219.01,0
M3,65.0,133.64,0
M5,90.96,102.03,0
M5,81.0,263.41,0
M5,52.39,351.92,1
M3,72.38,232.87,1
M3,106.73,434.69,0
M2,98.28,386.64,0
M4,100.74,240.06,1
M1,98.87,393.72,0
M5,71.77,476.2,1
M2,56.98,137.24,0
M1,69.07,222.44,0
M2,108.22,285.33,0
M3,118.63,299.2,0
M5,84.57,316.88,0
M1,50.68,220.25,0
M1,59.8,366.9,0
M1,72.55,358.03,0
M1,90.5,331.13,0
M1,55.26,145.5,0
M2,116.04,290.79,0
M5,75.56,242.49,0
M3,113.88,296.42,0
M3,104.64,468.75,0
M3,102.88,292.21,0
M3,92.47,105.59,0
M2,93.87,275.53,0
M4,94.66,428.26,1
M5,94.01,412.02,1
M1,88.76,305.36,0
M4,119.05,199.91,0
M3,101.26,286.04,0
M4,104.39,325.48,0
M5,111.07,499.95,0
M1,65.09,357.67,1
M1,55.87,377.71,0
M5,83.8,296.58,0
M5,85.99,241.8,0
M3,108.04,425.18,0
M1,81.06,297.97,0
M4,89.96,497.88,0
M2,86.89,282.85,0
M2,52.67,127.2,0
M5,93.07,373.03,0
M3,107.96,118.66,0
M2,61.03,200.2,0
M1,91.6,241.5,0
M5,91.55,395.79,0
M4,61.49,297.69,0
M5,58.64,111.46,1
M4,118.6,346.74,0
M5,77.56,264.57,0
M5,65.92,468.73,0
M5,61.99,299.82,0
M4,96.73,383.59,0
M4,92.66,187.55,0
M5,95.05,404.39,0
M2,56.16,388.38,0
M3,112.55,461.63,0
M3,77.25,113.53,0
M3,71.94,279.0,0
M4,82.37,371.66,0
M4,77.3,138.07,0
M2,110.45,264.24,0
M3,115.05,476.86,0
M3,71.24,274.37,0
M5,110.48,494.16,0
M4,104.71,122.74,0
M3,115.16,387.13,0
M2,67.2,332.41,0
M2,90.39,300.22,1
M3,69.22,488.34,0
M4,107.69,151.86,0
M2,50.37,458.4,0
M5,89.54,376.5,0
M2,73.74,203.6,0
M1,72.59,460.67,0
M1,95.14,271.72,1
M4,109.6,425.69,0
M3,92.64,255.53,0
M4,109.72,440.37,0
M4,68.52,354.65,0
M4,86.37,156.42,0
M4,81.54,359.87,0
M5,50.82,176.54,1
M5,88.98,264.77,0
M2,96.31,168.12,0
M1,91.43,108.81,0
M4,101.54,184.75,1
M2,89.99,314.55,0
M1,54.67,292.62,1
M3,58.15,300.6,0
M5,91.75,199.07,0
M1,69.25,374.06,0
M3,55.58,381.71,1
M1,80.07,243.19,0
M5,88.8,452.47,0
M5,73.01,357.61,0
M2,100.43,385.22,0
M4,95.06,210.94,0
M1,73.3,100.24,1
M1,102.84,446.15,0
M3,95.41,428.97,0
M5,94.62,149.28,0
M1,88.74,249.64,0
M5,50.8,364.54,0
M1,98.76,360.84,1
M2,76.32,444.14,1
M4,115.98,156.11,0
M1,107.26,271.98,0
M5,91.14,138.89,0
M2,67.65,255.84,0
M1,64.26,106.04,1
M3,73.83,459.31,0
M4,83.36,310.82,0
M1,70.72,439.92,0
M2,86.05,123.96,0
M3,61.58,190.98,0
M2,118.44,203.75,1
M2,57.55,254.68,0
M3,115.24,421.15,1
M2,113.95,254.62,0
M3,86.78,181.86,0
M1,100.74,126.0,0
M3,80.52,131.8,0
M3,94.1,404.02,0
M4,73.84,277.92,0
M3,71.08,390.47,0
M3,90.48,372.91,0
M1,84.87,154.14,0
M4,90.57,157.16,0
M5,70.07,402.14,1
M1,75.69,388.51,1
M1,55.87,251.21,0
M5,53.66,130.97,0
M3,67.74,104.84,0
M2,55.2,215.26,0
M4,57.26,103.69,0
M2,106.9,192.03,0
M5,52.72,267.8,0
M1,96.13,148.57,0
M1,69.08,141.71,0
M4,111.01,458.57,0
M1,83.95,334.19,0
M1,71.39,473.78,0
M4,86.23,238.33,0
M4,76.74,370.86,0
M5,89.5,181.88,1
M1,58.02,347.34,0
M1,119.79,151.83,0
M5,79.79,100.83,0
M3,74.38,472.61,0
